MAGTETIT 
 1024  512.0000
   10.40000   12.00000
 0.0
 0.0
 (5X,5F11.0)
0000  0000070744 0000070886 0000070659 0000070723 0000070652
0005  0000070278 0000070836 0000070222 0000070354 0000071112
0010  0000071064 0000070800 0000070727 0000070897 0000070771
0015  0000070695 0000070896 0000070917 0000070588 0000071143
0020  0000070817 0000070145 0000070756 0000070452 0000070770
0025  0000070964 0000070384 0000071187 0000071125 0000070548
0030  0000070544 0000070672 0000070830 0000071074 0000070716
0035  0000070580 0000070767 0000070723 0000070617 0000070884
0040  0000071226 0000070722 0000070632 0000071548 0000071148
0045  0000070887 0000071116 0000071100 0000070924 0000070614
0050  0000071172 0000070876 0000071010 0000071068 0000070546
0055  0000070914 0000070870 0000071150 0000070589 0000070505
0060  0000070772 0000070893 0000071058 0000070522 0000070579
0065  0000070333 0000070812 0000070684 0000070919 0000071077
0070  0000070554 0000070353 0000070461 0000070603 0000070508
0075  0000070408 0000070838 0000070782 0000070404 0000070882
0080  0000070491 0000070582 0000070768 0000070736 0000070270
0085  0000070933 0000070725 0000070324 0000070521 0000070608
0090  0000070933 0000070633 0000070479 0000069919 0000070557
0095  0000070264 0000069587 0000070145 0000069995 0000069896
0100  0000069375 0000068964 0000069158 0000068970 0000067866
0105  0000067356 0000066936 0000065359 0000064495 0000063924
0110  0000064297 0000064181 0000065220 0000065971 0000066414
0115  0000068079 0000067964 0000069182 0000069808 0000069805
0120  0000069912 0000070132 0000070039 0000070176 0000070161
0125  0000070160 0000070398 0000070169 0000070103 0000070755
0130  0000070397 0000070437 0000070162 0000070484 0000071076
0135  0000070301 0000070645 0000070579 0000070790 0000070765
0140  0000070536 0000070541 0000070945 0000070962 0000070506
0145  0000071215 0000071005 0000070540 0000070921 0000070740
0150  0000070433 0000070849 0000070758 0000070786 0000070790
0155  0000070736 0000071103 0000070852 0000070652 0000070402
0160  0000070533 0000071048 0000070617 0000070445 0000070836
0165  0000070770 0000070641 0000069951 0000070348 0000070158
0170  0000069729 0000069513 0000069362 0000068612 0000067104
0175  0000066325 0000065857 0000065887 0000066220 0000067296
0180  0000068188 0000069308 0000069931 0000069993 0000069879
0185  0000070222 0000070280 0000070524 0000070338 0000070527
0190  0000071064 0000070423 0000070840 0000070877 0000070547
0195  0000070783 0000070487 0000071096 0000070816 0000071312
0200  0000071168 0000071061 0000070577 0000070802 0000070600
0205  0000070577 0000071127 0000070842 0000071007 0000070901
0210  0000070986 0000070871 0000070537 0000070812 0000070918
0215  0000070909 0000070909 0000070791 0000071232 0000070651
0220  0000070687 0000071006 0000070696 0000070827 0000070836
0225  0000070126 0000069277 0000069424 0000068629 0000069033
0230  0000069332 0000069286 0000068983 0000069587 0000069040
0235  0000070059 0000069963 0000070127 0000070337 0000070023
0240  0000070592 0000070396 0000070501 0000070407 0000070186
0245  0000070351 0000070701 0000070848 0000070522 0000070776
0250  0000070476 0000070789 0000070781 0000070768 0000070827
0255  0000070499 0000070634 0000071063 0000071039 0000070569
0260  0000070977 0000071044 0000070279 0000070149 0000069230
0265  0000069542 0000068527 0000069575 0000069244 0000070287
0270  0000070084 0000069877 0000069922 0000069709 0000069725
0275  0000070311 0000070553 0000070761 0000071165 0000070921
0280  0000070709 0000070911 0000070539 0000071381 0000071182
0285  0000070516 0000070735 0000070945 0000071247 0000070671
0290  0000071318 0000070638 0000070963 0000070564 0000071166
0295  0000070591 0000070932 0000070791 0000070988 0000071001
0300  0000071288 0000070601 0000070915 0000071102 0000070717
0305  0000070422 0000070597 0000070259 0000070940 0000070598
0310  0000070500 0000070349 0000069858 0000069874 0000069225
0315  0000068459 0000067434 0000066768 0000067311 0000068466
0320  0000069583 0000069623 0000070084 0000070195 0000070518
0325  0000069876 0000070144 0000069159 0000068348 0000068614
0330  0000069209 0000070172 0000070528 0000070505 0000070418
0335  0000070266 0000070098 0000070127 0000070702 0000070420
0340  0000070946 0000070891 0000070592 0000070911 0000070536
0345  0000070600 0000070532 0000070765 0000070752 0000070944
0350  0000071253 0000070593 0000070927 0000070436 0000070887
0355  0000070308 0000071297 0000070652 0000070434 0000070931
0360  0000070456 0000070692 0000070669 0000071008 0000070482
0365  0000070173 0000070698 0000069958 0000069639 0000069503
0370  0000069367 0000069179 0000067826 0000067486 0000066733
0375  0000066730 0000066523 0000066323 0000067529 0000068038
0380  0000068647 0000068742 0000069962 0000070302 0000069735
0385  0000070147 0000070148 0000070112 0000070041 0000069963
0390  0000069681 0000069597 0000068948 0000068114 0000068191
0395  0000067611 0000067750 0000067781 0000068505 0000068427
0400  0000069320 0000069474 0000069880 0000069949 0000069994
0405  0000070158 0000070656 0000070632 0000070651 0000070599
0410  0000070688 0000070528 0000070074 0000070159 0000070456
0415  0000070745 0000070529 0000070528 0000070756 0000070895
0420  0000071079 0000071043 0000070624 0000071117 0000070979
0425  0000071066 0000071327 0000071282 0000071119 0000071114
0430  0000070577 0000070852 0000070630 0000070314 0000070795
0435  0000071069 0000071104 0000070977 0000070533 0000070443
0440  0000070972 0000070915 0000070543 0000070898 0000071221
0445  0000070410 0000070951 0000070998 0000071536 0000070829
0450  0000070706 0000070721 0000070730 0000071142 0000070848
0455  0000070509 0000071078 0000071082 0000071012 0000070786
0460  0000071493 0000071287 0000070895 0000070482 0000071009
0465  0000070912 0000070790 0000070931 0000070977 0000070851
0470  0000070906 0000070633 0000070866 0000070742 0000070936
0475  0000070511 0000071380 0000071017 0000070802 0000070742
0480  0000070640 0000071228 0000070821 0000070595 0000070600
0485  0000070668 0000070661 0000070982 0000070943 0000070854
